"filename", "language", "Markdown", "JSON", "C#", "XML", "comment", "blank", "total"
"c:\Driza\DrizaSharp\Compiler\Compiler.cs", "C#", 0, 0, 34, 0, 28, 9, 71
"c:\Driza\DrizaSharp\Compiler\Context\Context.cs", "C#", 0, 0, 21, 0, 1, 5, 27
"c:\Driza\DrizaSharp\Compiler\Context\Identifiers.cs", "C#", 0, 0, 5, 0, 0, 1, 6
"c:\Driza\DrizaSharp\Compiler\Context\Loader.cs", "C#", 0, 0, 109, 0, 5, 21, 135
"c:\Driza\DrizaSharp\Compiler\Context\Loader\01 Bind.cs", "C#", 0, 0, 130, 0, 24, 28, 182
"c:\Driza\DrizaSharp\Compiler\Context\Loader\02 BindData.cs", "C#", 0, 0, 290, 0, 38, 51, 379
"c:\Driza\DrizaSharp\Compiler\Context\Loader\03 Rules.cs", "C#", 0, 0, 17, 0, 6, 6, 29
"c:\Driza\DrizaSharp\Compiler\Context\Loader\Loader.cs", "C#", 0, 0, 25, 0, 3, 4, 32
"c:\Driza\DrizaSharp\Compiler\Default\Bindings.cs", "C#", 0, 0, 10, 0, 0, 1, 11
"c:\Driza\DrizaSharp\Compiler\Default\Lexer\Bindings.cs", "C#", 0, 0, 39, 0, 2, 12, 53
"c:\Driza\DrizaSharp\Compiler\Default\Lexer\Rules.cs", "C#", 0, 0, 125, 0, 3, 22, 150
"c:\Driza\DrizaSharp\Compiler\Default\Lexer\Shared\TokenTypes.cs", "C#", 0, 0, 20, 0, 4, 6, 30
"c:\Driza\DrizaSharp\Compiler\Default\Lowerer\Bindings.cs", "C#", 0, 0, 42, 0, 2, 9, 53
"c:\Driza\DrizaSharp\Compiler\Default\Lowerer\Instructions\Logic.cs", "C#", 0, 0, 178, 0, 12, 32, 222
"c:\Driza\DrizaSharp\Compiler\Default\Lowerer\Instructions\Virtual.cs", "C#", 0, 0, 45, 0, 2, 10, 57
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Bindings.cs", "C#", 0, 0, 30, 0, 2, 9, 41
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Rules.cs", "C#", 0, 0, 432, 0, 11, 62, 505
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Shared\Patterns.cs", "C#", 0, 0, 138, 0, 14, 21, 173
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Shared\Realms.cs", "C#", 0, 0, 8, 0, 2, 3, 13
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Shared\Tags.cs", "C#", 0, 0, 7, 0, 0, 2, 9
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Config.cs", "C#", 0, 0, 23, 0, 0, 4, 27
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Diagnostics.cs", "C#", 0, 0, 47, 0, 1, 8, 56
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Exceptions.cs", "C#", 0, 0, 2, 0, 0, 1, 3
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Render.cs", "C#", 0, 0, 415, 0, 27, 92, 534
"c:\Driza\DrizaSharp\Compiler\Models\Source.cs", "C#", 0, 0, 42, 0, 0, 6, 48
"c:\Driza\DrizaSharp\Compiler\Models\TASI.cs", "C#", 0, 0, 165, 0, 17, 29, 211
"c:\Driza\DrizaSharp\Compiler\Models\TAST.cs", "C#", 0, 0, 460, 0, 32, 83, 575
"c:\Driza\DrizaSharp\Compiler\Pipeline\01 Loader\01 Restore.cs", "C#", 0, 0, 26, 0, 2, 6, 34
"c:\Driza\DrizaSharp\Compiler\Pipeline\01 Loader\02 Load.cs", "C#", 0, 0, 20, 0, 1, 4, 25
"c:\Driza\DrizaSharp\Compiler\Pipeline\01 Loader\Process.cs", "C#", 0, 0, 24, 0, 2, 4, 30
"c:\Driza\DrizaSharp\Compiler\Pipeline\02 Lexer\01 Lex\Context.cs", "C#", 0, 0, 32, 0, 3, 7, 42
"c:\Driza\DrizaSharp\Compiler\Pipeline\02 Lexer\01 Lex\Phase.cs", "C#", 0, 0, 56, 0, 9, 13, 78
"c:\Driza\DrizaSharp\Compiler\Pipeline\02 Lexer\Context.cs", "C#", 0, 0, 15, 0, 1, 2, 18
"c:\Driza\DrizaSharp\Compiler\Pipeline\02 Lexer\Process.cs", "C#", 0, 0, 21, 0, 3, 6, 30
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Build\Context.cs", "C#", 0, 0, 47, 0, 0, 11, 58
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Build\Step.cs", "C#", 0, 0, 35, 0, 0, 7, 42
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Match\Context.cs", "C#", 0, 0, 121, 0, 13, 20, 154
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Match\Pattern\Definition.cs", "C#", 0, 0, 48, 0, 6, 10, 64
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Match\Pattern\Patterns.cs", "C#", 0, 0, 140, 0, 6, 29, 175
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Match\Step.cs", "C#", 0, 0, 162, 0, 21, 32, 215
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Match\View.cs", "C#", 0, 0, 176, 0, 9, 25, 210
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\01 Match\Phase.cs", "C#", 0, 0, 16, 0, 2, 3, 21
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\02 Bind\Phase.cs", "C#", 0, 0, 30, 0, 2, 6, 38
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\03 Validate\Context.cs", "C#", 0, 0, 75, 0, 4, 10, 89
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\03 Validate\Phase.cs", "C#", 0, 0, 64, 0, 3, 14, 81
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\04 Emit\Context.cs", "C#", 0, 0, 61, 0, 4, 11, 76
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\04 Emit\Phase.cs", "C#", 0, 0, 41, 0, 4, 7, 52
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Context.cs", "C#", 0, 0, 41, 0, 6, 10, 57
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Context\Mutate.cs", "C#", 0, 0, 0, 0, 76, 0, 76
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Mutate\Context.cs", "C#", 0, 0, 71, 0, 5, 15, 91
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Mutate\Step.cs", "C#", 0, 0, 99, 0, 9, 19, 127
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Process.cs", "C#", 0, 0, 25, 0, 3, 7, 35
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Process\Mutate.cs", "C#", 0, 0, 0, 0, 48, 0, 48
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Semantics\Context.cs", "C#", 0, 0, 10, 0, 0, 4, 14
"c:\Driza\DrizaSharp\Compiler\Pipeline\03 Parser\Semantics\Tags.cs", "C#", 0, 0, 147, 0, 13, 26, 186
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Context\Logic.cs", "C#", 0, 0, 22, 0, 0, 3, 25
"c:\Driza\DrizaSharp\Compiler\Pipeline\04 Lowerer\Context\Virtual.cs", "C#", 0, 0, 18, 0, 1, 3, 22
