Date : 2026-04-04 15:18:51
Directory : c:\Driza\DrizaSharp
Total : 56 files,  -314 codes, 388 comments, -118 blanks, all -44 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         56 |       -314 |        388 |       -118 |        -44 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         56 |       -314 |        388 |       -118 |        -44 |
| Compiler                                                                                      |         56 |       -314 |        388 |       -118 |        -44 |
| Compiler (Files)                                                                              |          2 |         22 |        -11 |          9 |         20 |
| Compiler\Context                                                                              |          3 |          7 |          1 |          0 |          8 |
| Compiler\Context (Files)                                                                      |          1 |          3 |          1 |          1 |          5 |
| Compiler\Context\Loader                                                                       |          2 |          4 |          0 |         -1 |          3 |
| Compiler\Default                                                                              |         17 |       -275 |        -25 |        -73 |       -373 |
| Compiler\Default (Files)                                                                      |          1 |         -1 |          0 |          0 |         -1 |
| Compiler\Default\Lexer                                                                        |          2 |         -1 |         -2 |         -3 |         -6 |
| Compiler\Default\Lexer (Files)                                                                |          1 |         19 |          2 |          3 |         24 |
| Compiler\Default\Lexer\Shared                                                                 |          1 |        -20 |         -4 |         -6 |        -30 |
| Compiler\Default\Lowerer                                                                      |          3 |       -265 |        -16 |        -51 |       -332 |
| Compiler\Default\Lowerer (Files)                                                              |          1 |        -42 |         -2 |         -9 |        -53 |
| Compiler\Default\Lowerer\Instructions                                                         |          2 |       -223 |        -14 |        -42 |       -279 |
| Compiler\Default\Parser                                                                       |         11 |         -8 |         -7 |        -19 |        -34 |
| Compiler\Default\Parser (Files)                                                               |          4 |         -9 |          0 |        -16 |        -25 |
| Compiler\Default\Parser\Patterns                                                              |          4 |        154 |          9 |         23 |        186 |
| Compiler\Default\Parser\Shared                                                                |          3 |       -153 |        -16 |        -26 |       -195 |
| Compiler\Diagnostics                                                                          |          3 |       -432 |        522 |        -99 |         -9 |
| Compiler\Models                                                                               |          1 |         42 |          0 |          8 |         50 |
| Compiler\Pipeline                                                                             |         26 |        322 |        -99 |         39 |        262 |
| Compiler\Pipeline\01 Loader                                                                   |          3 |          5 |          1 |          0 |          6 |
| Compiler\Pipeline\02 Lexer                                                                    |          2 |         -2 |          0 |          0 |         -2 |
| Compiler\Pipeline\02 Lexer (Files)                                                            |          1 |         -1 |          0 |          0 |         -1 |
| Compiler\Pipeline\02 Lexer\01 Lex                                                             |          1 |         -1 |          0 |          0 |         -1 |
| Compiler\Pipeline\03 Parser                                                                   |          4 |          8 |       -124 |          2 |       -114 |
| Compiler\Pipeline\03 Parser (Files)                                                           |          1 |          1 |          0 |          0 |          1 |
| Compiler\Pipeline\03 Parser\04 Emit                                                           |          1 |          7 |          0 |          2 |          9 |
| Compiler\Pipeline\03 Parser\Context                                                           |          1 |          0 |        -76 |          0 |        -76 |
| Compiler\Pipeline\03 Parser\Process                                                           |          1 |          0 |        -48 |          0 |        -48 |
| Compiler\Pipeline\04 Lowerer                                                                  |         17 |        311 |         24 |         37 |        372 |
| Compiler\Pipeline\04 Lowerer (Files)                                                          |          5 |       -151 |        -10 |        -23 |       -184 |
| Compiler\Pipeline\04 Lowerer\01 Lower                                                         |         10 |        502 |         35 |         66 |        603 |
| Compiler\Pipeline\04 Lowerer\01 Lower (Files)                                                 |          2 |         36 |          1 |          6 |         43 |
| Compiler\Pipeline\04 Lowerer\01 Lower\Instructions                                            |          7 |        458 |         34 |         57 |        549 |
| Compiler\Pipeline\04 Lowerer\01 Lower\Instructions (Files)                                    |          2 |        194 |          9 |         19 |        222 |
| Compiler\Pipeline\04 Lowerer\01 Lower\Instructions\InstrList                                  |          5 |        264 |         25 |         38 |        327 |
| Compiler\Pipeline\04 Lowerer\01 Lower\Virtual                                                 |          1 |          8 |          0 |          3 |         11 |
| Compiler\Pipeline\04 Lowerer\Context                                                          |          2 |        -40 |         -1 |         -6 |        -47 |
| Compiler\Rules                                                                                |          4 |          0 |          0 |         -2 |         -2 |
| Compiler\Rules (Files)                                                                        |          2 |          2 |          0 |          0 |          2 |
| Compiler\Rules\Context                                                                        |          2 |         -2 |          0 |         -2 |         -4 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Driza\DrizaSharp\Compiler\Compiler.cs                                                      | C#       |         15 |        -11 |          9 |         13 |
