"filename", "language", "Markdown", "XML", "JSON", "C#", "comment", "blank", "total"
"c:\Driza\DrizaSharp\Compiler\Compiler.cs", "C#", 0, 0, 0, 49, 17, 18, 84
"c:\Driza\DrizaSharp\Compiler\Context\Context.cs", "C#", 0, 0, 0, 21, 1, 5, 27
"c:\Driza\DrizaSharp\Compiler\Context\Identifiers.cs", "C#", 0, 0, 0, 5, 0, 1, 6
"c:\Driza\DrizaSharp\Compiler\Context\Loader.cs", "C#", 0, 0, 0, 112, 6, 22, 140
"c:\Driza\DrizaSharp\Compiler\Context\Loader\01 Bind.cs", "C#", 0, 0, 0, 130, 24, 28, 182
"c:\Driza\DrizaSharp\Compiler\Context\Loader\02 BindData.cs", "C#", 0, 0, 0, 290, 38, 51, 379
"c:\Driza\DrizaSharp\Compiler\Context\Loader\03 Ruleset.cs", "C#", 0, 0, 0, 21, 6, 5, 32
"c:\Driza\DrizaSharp\Compiler\Context\Loader\Loader.cs", "C#", 0, 0, 0, 25, 3, 4, 32
"c:\Driza\DrizaSharp\Compiler\Default\Bindings.cs", "C#", 0, 0, 0, 9, 0, 1, 10
"c:\Driza\DrizaSharp\Compiler\Default\Lexer\Bindings.cs", "C#", 0, 0, 0, 58, 4, 15, 77
"c:\Driza\DrizaSharp\Compiler\Default\Lexer\Rules.cs", "C#", 0, 0, 0, 125, 3, 22, 150
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Bindings.cs", "C#", 0, 0, 0, 30, 2, 7, 39
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\Groups.cs", "C#", 0, 0, 0, 57, 4, 6, 67
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\Shortcuts.cs", "C#", 0, 0, 0, 9, 0, 2, 11
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\TokenTables.cs", "C#", 0, 0, 0, 52, 1, 9, 62
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Patterns\Tokens.cs", "C#", 0, 0, 0, 36, 4, 6, 46
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Realms.cs", "C#", 0, 0, 0, 7, 0, 2, 9
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Rules.cs", "C#", 0, 0, 0, 409, 11, 44, 464
"c:\Driza\DrizaSharp\Compiler\Default\Parser\Tags.cs", "C#", 0, 0, 0, 7, 0, 2, 9
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Config.cs", "C#", 0, 0, 0, 0, 29, 0, 29
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Diagnostics.cs", "C#", 0, 0, 0, 53, 0, 5, 58
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Exceptions.cs", "C#", 0, 0, 0, 2, 0, 1, 3
"c:\Driza\DrizaSharp\Compiler\Diagnostics\Render.cs", "C#", 0, 0, 0, 0, 521, 0, 521
